especie,status,n_pred,min,archivo
Encelia canescens,OK,9,2.56,encelia_canescens_idoneidad_sa.tif
Schinus areira,OK,7,2.52,schinus_areira_idoneidad_sa.tif
Neltuma chilensis,OK,7,2.53,neltuma_chilensis_idoneidad_sa.tif
Krameria cistoidea,OK,7,2.06,krameria_cistoidea_idoneidad_sa.tif
Eulychnia acida,OK,8,1.91,eulychnia_acida_idoneidad_sa.tif
Cumulopuntia sphaerica,OK,7,1.96,cumulopuntia_sphaerica_idoneidad_sa.tif
Skytanthus acutus,OK,8,1.52,skytanthus_acutus_idoneidad_sa.tif
Miqueliopuntia miquelii,OK,7,1.78,miqueliopuntia_miquelii_idoneidad_sa.tif
Senna cumingii,OK,7,1.91,senna_cumingii_idoneidad_sa.tif
Centaurea chilensis,OK,7,1.77,centaurea_chilensis_idoneidad_sa.tif
Oxalis gigantea,OK,8,1.75,oxalis_gigantea_idoneidad_sa.tif
Nolana sedifolia,OK,8,1.67,nolana_sedifolia_idoneidad_sa.tif
Nolana divaricata,OK,8,1.81,nolana_divaricata_idoneidad_sa.tif
Caesalpinia angulata,OK,7,1.79,caesalpinia_angulata_idoneidad_sa.tif
Atriplex semibaccata,OK,7,1.64,atriplex_semibaccata_idoneidad_sa.tif
Pleurophora pungens,OK,6,1.58,pleurophora_pungens_idoneidad_sa.tif
