especie,n_pres,n_bg,n_pred,n_folds,auc_glm,tss_glm,auc_gam,tss_gam,auc_rf,tss_rf,auc_gbm,tss_gbm,auc_maxent,tss_maxent,auc_ensemble,tss_ensemble,auc_ensemble_std,tss_ensemble_std,boyce_ensemble,ens_auc_pr,ens_brier,ens_f1,ens_p10,ens_or10,ens_calib_slope,ens_calib_intercept,mess_pct_extrapolation,algo_sd_mean,binary_agreement_mean,binary_agreement_unanimous_pct
Encelia canescens,387,10000,9,5,0.9214,0.6359,0.9227,0.6396,0.868,0.0851,0.8781,0.127,0.9292,0.6369,0.9329,0.6225,0.0276,0.2169,0.9879,0.5124,0.0573,0.3278,0.3099,0.1016,0.6638,-0.1395,58.4746,0.1073,0.5844,0.8172
Schinus areira,323,10000,7,5,0.6324,0.1852,0.7496,0.1903,0.6438,0.0,0.6111,0.0026,0.7606,0.2553,0.7539,0.2189,0.0498,0.1403,0.9879,0.082,0.1306,0.121,0.1741,0.1022,0.1462,-0.0118,21.4085,0.2166,0.851,0.0
Neltuma chilensis,304,10000,7,5,0.7384,0.2721,0.6632,0.1472,0.6205,-0.0081,0.6413,-0.018,0.6312,0.2003,0.691,0.1915,0.165,0.2299,0.9152,0.0782,0.1404,0.1408,0.066,0.1026,0.1296,-0.0071,28.014,0.1795,0.758,0.5978
Krameria cistoidea,254,10000,7,5,0.8913,0.5408,0.8917,0.5354,0.7251,-0.0017,0.81,0.0095,0.8543,0.508,0.8912,0.5402,0.0412,0.3195,1.0,0.2703,0.0751,0.3026,0.5764,0.1024,0.3315,-0.0689,71.1137,0.1301,0.6018,0.1156
Eulychnia acida,199,10000,8,5,0.8873,0.6204,0.8404,0.3672,0.822,0.0,0.8137,0.0108,0.8828,0.5869,0.888,0.5227,0.1129,0.298,0.9636,0.1924,0.0615,0.2474,0.417,0.1015,0.2502,-0.032,87.1825,0.1673,1.0353,0.0
Cumulopuntia sphaerica,175,10000,7,5,0.8808,0.5835,0.8716,0.5055,0.8287,0.0061,0.7988,0.0058,0.8791,0.5412,0.8938,0.5744,0.0421,0.1962,0.9758,0.0858,0.0907,0.103,0.1789,0.1029,0.1195,-0.0067,32.3243,0.1294,0.5729,0.0353
Skytanthus acutus,162,10000,8,5,0.8186,0.6486,0.7702,0.5641,0.7936,0.06,0.7994,0.0988,0.894,0.6282,0.8653,0.5823,0.198,0.3328,0.9152,0.3349,0.0369,0.2504,0.4443,0.1,0.394,-0.0782,86.2697,0.0755,0.3604,0.6433
Miqueliopuntia miquelii,153,10000,7,5,0.8815,0.4743,0.8498,0.4718,0.7137,0.0331,0.6518,0.0072,0.8703,0.4341,0.8652,0.4513,0.1352,0.3694,0.766,0.2947,0.0437,0.3222,0.6108,0.1046,0.3272,-0.0667,87.058,0.0873,0.4438,0.1304
Senna cumingii,138,10000,7,5,0.9051,0.6064,0.8304,0.5235,0.8126,0.0,0.848,0.024,0.9088,0.6394,0.9074,0.6046,0.0304,0.1978,0.9758,0.2675,0.0529,0.2081,0.4608,0.1045,0.2705,-0.0568,71.0578,0.1172,0.5395,0.0
Centaurea chilensis,129,10000,7,5,0.8092,0.582,0.9025,0.6453,0.8563,0.0,0.8244,0.0061,0.8458,0.6245,0.8471,0.6326,0.1359,0.1603,0.7212,0.0278,0.2251,0.0745,0.4807,0.1008,0.0679,0.0009,81.084,0.1907,0.8611,0.0
Oxalis gigantea,123,10000,8,5,0.9525,0.6912,0.9073,0.7009,0.9299,0.0335,0.9297,0.1186,0.9214,0.6604,0.9547,0.687,0.0579,0.3484,0.9879,0.4942,0.0278,0.2464,0.5697,0.1066,0.5234,-0.1231,88.2829,0.0778,0.2931,0.1514
Nolana sedifolia,122,10000,8,5,0.7805,0.6521,0.7801,0.4682,0.8759,0.0092,0.6961,0.0294,0.7817,0.6249,0.7796,0.5566,0.3831,0.3016,0.9152,0.3858,0.0317,0.1831,0.3243,0.1017,0.3643,-0.0677,79.4327,0.0847,0.2836,0.1195
Nolana divaricata,116,10000,8,5,0.9615,0.768,0.9611,0.7488,0.9265,0.0079,0.9445,0.1465,0.9624,0.7819,0.9667,0.7953,0.0188,0.1418,0.9879,0.2081,0.0616,0.1167,0.3799,0.1053,0.2941,-0.0705,90.3302,0.1032,0.4781,0.0458
Caesalpinia angulata,114,10000,7,5,0.5488,0.3285,0.6303,0.3521,0.63,0.1039,0.6381,0.1516,0.7329,0.2519,0.6875,0.1656,0.2192,0.2875,0.7939,0.1023,0.0615,0.1531,0.383,0.1062,0.1327,-0.0015,79.4324,0.2188,1.2972,1.9771
Atriplex semibaccata,83,10000,7,5,0.5355,0.0652,0.509,0.092,0.5288,0.0,0.5721,0.0,0.5235,-0.053,0.545,0.1058,0.1217,0.1149,0.0182,0.0099,0.1463,0.0208,0.1034,0.0988,-0.0028,0.0101,26.9815,0.2573,1.266,0.0
Pleurophora pungens,69,10000,6,5,0.6652,0.332,0.6667,0.2525,0.7152,0.0,0.6986,0.0068,0.8023,0.297,0.7403,0.3124,0.1606,0.1972,0.9119,0.0546,0.1157,0.0481,0.0452,0.1014,0.0738,-0.016,56.083,0.2276,1.074,0.0
