especie,top1,top2,top3,top4,top5
Krameria cistoidea,precip_anual (0.174),estacionalidad_precip (0.017),rango_anual_temp (0.013),estacionalidad_temp (0.013),temp_min_mes_frio (0.003)
Skytanthus acutus,precip_anual (0.093),estacionalidad_temp (0.005),temp_max_mes_calido (0.005),estacionalidad_precip (0.002),rango_anual_temp (0.002)
Eulychnia acida,precip_anual (0.031),estacionalidad_temp (0.004),rango_anual_temp (0.004),estacionalidad_precip (0.004),temp_min_mes_frio (0.003)
Miqueliopuntia miquelii,precip_anual (0.030),estacionalidad_temp (0.009),temp_media_trim_frio (0.007),rango_anual_temp (0.004),estacionalidad_precip (0.003)
Encelia canescens,precip_anual (0.026),temp_media_trim_frio (0.009),rango_anual_temp (0.007),estacionalidad_temp (0.005),estacionalidad_precip (0.003)
Oxalis gigantea,rango_anual_temp (0.024),precip_anual (0.005),precip_trim_seco (0.001),estacionalidad_temp (0.001),estacionalidad_precip (0.001)
Pleurophora pungens,precip_anual (0.022),rango_anual_temp (0.016),estacionalidad_temp (0.012),estacionalidad_precip (0.003),temp_max_mes_calido (0.001)
Schinus areira,precip_anual (0.009),estacionalidad_precip (0.002),temp_media_anual (0.002),temp_media_trim_frio (0.001),estacionalidad_temp (0.001)
Senna cumingii,precip_anual (0.006),rango_anual_temp (0.004),estacionalidad_temp (0.003),estacionalidad_precip (0.002),precip_trim_seco (0.001)
Cumulopuntia sphaerica,precip_anual (0.006),estacionalidad_temp (0.003),rango_anual_temp (0.001),temp_media_trim_frio (0.001),estacionalidad_precip (0.001)
Nolana divaricata,precip_anual (0.004),estacionalidad_temp (0.002),temp_max_mes_calido (0.001),rango_anual_temp (0.001),estacionalidad_precip (0.001)
Nolana sedifolia,estacionalidad_temp (0.002),temp_min_mes_frio (0.002),rango_anual_temp (0.002),precip_anual (0.001),estacionalidad_precip (0.001)
Neltuma chilensis,temp_media_anual (0.001),estacionalidad_precip (0.001),precip_anual (0.001),temp_media_trim_calido (0.000),precip_trim_seco (0.000)
